predictor,response,len,spearman,p-value-spearman,pearson,p-value-pearson,F-statistic,p-value-chi2,what
AR,QV,151,-0.18546739103351703,0.022611207637235835,-0.2694147665525344,0.0008222696809511761,9.746227974155309,0.13575377789512136,6.0
AR,GA,138,-0.25738174043526013,0.0023070491474896085,-0.090712049212007,0.2900027056645983,16.832281812079014,0.051408128491457906,9.0
AR,GR,141,-0.2748714304871892,0.0009715461742351715,-0.17488852170855765,0.03805943017914221,21.182512696131276,0.011864232610487488,9.0
AR,GN,139,-0.14306226786291693,0.09293750812326015,-0.037726753023548096,0.6592619963319937,16.39886306531585,0.059005227122363356,9.0
AR,GD,134,0.08711617115859957,0.31687552667714314,0.14991719534095768,0.08381918450566049,29.623458795632708,0.0005083393581048081,9.0
AR,GC,125,-0.17711763264456842,0.04815556637990669,-0.09992237202249991,0.2675509518506764,11.421732184710581,0.2479047764230746,9.0
AR,GE,138,-0.13647154480884083,0.11047271322186995,-0.006311448228920286,0.9414328648020811,22.730764430047074,0.006830146603762717,9.0
AR,GQ,141,-0.21742509570971438,0.009601565897180078,-0.1229280794238886,0.14644314419168297,34.05542651814588,8.734599182404284e-05,9.0
AR,GH,140,-0.2399805774388699,0.0042916752516198794,-0.1165956481270671,0.1700965288892858,23.30403639183027,0.005548424753261211,9.0
AR,GI,141,-0.1409042055100591,0.09559865910569547,-0.0006532021210719598,0.9938664809507204,16.48507435755556,0.057417395350045586,9.0
AR,GL,141,-0.1990528025143243,0.017966323888051708,-0.09945863830452095,0.24063344251417917,19.289863935305323,0.02283799427511989,9.0
AR,GK,138,-0.2794770695933937,0.0009012908174731089,-0.16266212699833135,0.05662663771617974,20.031405235042737,0.017719577511375435,9.0
AR,GM,139,-0.2409303874680694,0.00427546427262012,-0.16107197948068155,0.058191827465972915,24.08718742977672,0.004165576769736595,9.0
AR,GF,141,-0.17873858297838893,0.03395395324445512,-0.10648888463086881,0.20882373672432283,10.338307769647528,0.32379782450575045,9.0
AR,GP,127,-0.06514365917714567,0.46682999668427605,0.08708965967503675,0.3302561761900751,14.045738844749595,0.12070748564085498,9.0
AR,GS,138,-0.17311928280685726,0.04230053260060505,-0.04165564599503812,0.627603531404827,14.558748803313598,0.10379150640420252,9.0
AR,GT,140,0.013333566648762347,0.875751314984117,0.09599612730176334,0.25920759487568246,16.818892724011032,0.051628795780109815,9.0
AR,GW,140,-0.09557910029816552,0.2612922882007347,-0.010998114517560345,0.8973824529753689,16.46127315156591,0.05785184223936781,9.0
AR,GY,140,-0.15681158033952083,0.06427769855129632,-0.08593279420707967,0.31272362957743954,12.867911311747982,0.1686747907931815,9.0
AR,GV,141,-0.16166590311123585,0.05546621976024443,-0.017289025089779562,0.8387571100539534,15.34975772347953,0.08176595729049983,9.0
AR,HA,31,0.14196291565983762,0.4461762837824905,0.13735462363626555,0.461223140685401,7.62566844919786,0.5722645049012298,9.0
AR,HR,31,-0.5502829945562695,0.0013397663506136412,-0.4845582377947238,0.005736894345240197,11.065277777777776,0.27126101333129127,9.0
AR,HN,31,0.5454364654299023,0.0015067026512084962,0.4687315306897708,0.007820282224847817,36.476403061224495,2.227001462478321e-06,6.0
AR,HD,31,0.5258484102108352,0.002380053593204996,0.5405949087345356,0.0016912898118760027,38.32190476190476,1.525926708199268e-05,9.0
AR,HC,28,-0.327482480182742,0.08891634881073543,-0.35117198545177336,0.06689734990119006,4.666666666666667,0.587219138734453,6.0
AR,HE,31,0.14337648665502803,0.4416144131333254,0.06594450853700382,0.7244939121514264,18.91281179138322,0.004313442475170274,6.0
AR,HQ,31,-0.02403070691823709,0.8978978625251591,-0.08966450371480315,0.6314524685427814,8.764880952380953,0.45925486569691143,9.0
AR,HG,30,0.6278140737644609,0.0002040298140101373,0.6116506064422227,0.0003290216336962811,12.65426880811496,0.17888429057790312,9.0
AR,HI,30,-0.47336780002687784,0.008239626897821395,-0.5420432813421652,0.0019744933147878606,10.509401709401711,0.10477489377044252,6.0
AR,HL,30,-0.32315598401081586,0.08153122664261832,-0.3535784173658782,0.05526678346355393,8.015384615384617,0.532596562977901,9.0
AR,HK,31,-0.5502829945562695,0.0013397663506136412,-0.48730478261098786,0.005428588315437952,16.885510204081633,0.050539353976107176,9.0
AR,HM,31,-0.5038370904285844,0.0038557379989845784,-0.4464997400111607,0.011805128953067671,14.317641723356008,0.11146624836026958,9.0
AR,HF,31,-0.49777892902062554,0.004379236159121804,-0.5465545559176574,0.0014666617098926414,32.57554945054945,1.2653428572961618e-05,6.0
AR,HP,28,0.4764129548387126,0.010379073574578008,0.5057064599170207,0.006044983199215754,3.2289562289562284,0.7796102687128101,6.0
AR,HS,31,0.156502503038939,0.40048264170589776,0.06845343387333427,0.7144397595014398,36.41925925925926,3.3398093487578824e-05,9.0
AR,HT,30,-0.6195680245172883,0.0002612117235999768,-0.6279358011537863,0.0002032763540212664,14.690476190476193,0.09979653131937809,9.0
AR,HW,31,0.24636523059032983,0.18153760528523508,0.3572098853548889,0.04852254994813763,14.841541353383457,0.02152562573591115,6.0
AR,HY,30,-0.43347475096623234,0.01671185646376455,-0.40287791423658037,0.027286718753159443,35.164102564102556,4.005211002785949e-06,6.0
AR,HV,30,-0.6496549609596747,0.00010237435126657329,-0.6370857365751272,0.00015323219626032857,41.417004048582996,4.199271604593568e-06,9.0
AR,IA,130,0.3324601469882576,0.00011129921277139159,0.33948852037059446,7.769813267257666e-05,36.93294680728148,2.7053333570680697e-05,9.0
AR,IR,120,-0.0024971217158525397,0.9784052431639894,0.0059764074749080985,0.9483463109185198,8.808312420609102,0.4551536625815703,9.0
AR,IN,120,0.3858510962889132,1.3470695275656631e-05,0.3391375297654431,0.00015118891627514394,52.64691654439554,3.4098082948980845e-08,9.0
AR,ID,122,0.4602309815230724,9.635261654970444e-08,0.4189663436955793,1.564209202262883e-06,10.8989807728647,0.09154918168516464,6.0
AR,IC,117,0.18421521000768606,0.04678420349103243,0.21265960464155914,0.021337140791555367,26.794731334667162,0.0015123836583636355,9.0
AR,IE,129,0.19830475802851932,0.024271233636888007,0.20964255685782318,0.017103913402257552,27.129100784273195,0.0013316093232830083,9.0
AR,IQ,125,0.17443445001290206,0.05170436181987783,0.18850650331431806,0.035264621642746734,28.690910121091775,0.0007305700726613222,9.0
AR,IG,125,0.40840355510410103,2.2666895887994883e-06,0.38849341054509595,7.5698833585021865e-06,33.91696675296299,9.236534940980292e-05,9.0
AR,IH,129,0.18476574423938674,0.0360650783076811,0.15878817729704273,0.07227939247885658,12.706045410276355,0.04794885788037005,6.0
AR,IL,131,0.1636568458761545,0.061790015023384846,0.150450522723103,0.08629781329654748,10.505516665142384,0.10491504782335874,6.0
AR,IK,120,0.10452838248382407,0.2558806188547705,0.09355752025676485,0.309450695906995,4.155254876566352,0.9008999043334671,9.0
AR,IM,129,0.15287761994316681,0.08369501231928668,0.20961197904462675,0.017120456363925566,28.570043494181423,0.0007655593319506775,9.0
AR,IF,130,0.23308348746216875,0.0076132748365649,0.22534452070504102,0.009944524775485963,11.591748955808614,0.2373148017739708,9.0
AR,IP,110,0.45282695589752764,6.79841835716539e-07,0.4585219247440031,4.718172064028558e-07,10.45064967516242,0.10691248071755324,6.0
AR,IS,127,0.24992455857298285,0.0046001841897630805,0.27761843199805275,0.0015775608121768908,35.85508211302922,4.2063902358217695e-05,9.0
AR,IT,131,0.1520520758305224,0.08296566762505185,0.1804821960391948,0.039123326812940916,32.04555464888527,0.00019555001835901565,9.0
AR,IW,131,0.17041592940264289,0.05164687170088167,0.15866955798318888,0.0702747146637355,19.419704707960804,0.07889068487414437,12.0
AR,IY,130,0.11253182272329737,0.20240790533924735,0.11114054527040214,0.20808005318298342,3.8832891246684356,0.6924669678464492,6.0
