predictor,response,len,spearman,p-value-spearman,pearson,p-value-pearson,F-statistic,p-value-chi2,what
AR,LP,32,0.13742432823329856,0.4532368562763116,0.12697887353083134,0.4886020363615091,3.8837606837606833,0.14343399110940108,2.0
AR,LS,35,0.2100684272296138,0.22581175116664512,0.14279297575560432,0.4131856615147249,3.7928475033738187,0.43476615603469015,4.0
AR,LT,35,0.22734009604595234,0.1890508962910217,0.1562310601049987,0.37013040502330774,2.8283752860411893,0.586944629110183,4.0
AR,LW,35,0.17596305261278197,0.3119580411594757,0.13251730111143786,0.44793217291362136,4.686868686868687,0.5845546212339521,6.0
AR,LY,36,0.08682201832589341,0.6146127486113704,-0.0010831529879902178,0.9949976540543412,7.13602187286398,0.3084510585077233,6.0
AR,LV,35,-0.03987930035642401,0.8200729564919735,-0.10124223702526997,0.562795086145511,3.117408906882591,0.538373137056376,4.0
AR,KA,116,-0.5091564673613705,5.335496772269188e-09,-0.2712341313065163,0.003228913427965728,43.42364824717766,1.8019595322152239e-06,9.0
AR,KR,121,-0.6189451035899685,3.8376922772947853e-14,-0.4494809057693488,2.3198303973964746e-07,61.98687234495505,1.7751602144678355e-11,6.0
AR,KN,119,-0.35060054282001457,9.265573812119447e-05,-0.17206803322777156,0.061316026579818106,56.1964448168061,7.1994918138210086e-09,9.0
AR,KD,117,-0.2523326788224821,0.006057505396664854,-0.20040911348754187,0.03027210782204604,30.169087029613348,0.0004105812856477338,9.0
AR,KC,115,-0.44717163376362656,5.441331284375417e-07,-0.282916747707408,0.002186564181335823,68.94224662497157,2.45386121649675e-11,9.0
AR,KE,121,-0.22931328696543257,0.011403900988159561,-0.17500896347411576,0.05486281953031699,34.782086163570206,0.0005072229186992479,12.0
AR,KQ,121,-0.2350311969545434,0.009460083678845642,-0.020127421404362533,0.8265521495973907,36.78239373153165,2.8778308568638344e-05,9.0
AR,KG,112,-0.5259977205141966,2.588487611211622e-09,-0.28860668324294236,0.002028639668299099,51.90799220272905,1.945971165998649e-09,6.0
AR,KH,119,-0.24172757727497643,0.00808496089396391,-0.06275206903678039,0.49777973901362144,41.03087120572848,4.9376442024599355e-06,9.0
AR,KI,116,-0.04614591391396302,0.622799612130051,-0.07602694080688194,0.4172839049733559,47.86999474119149,3.2927608623549794e-06,12.0
AR,KL,121,-0.13284814359042127,0.146332676256578,0.0654773678941132,0.47551101498764875,12.613624474344924,0.39773789706469165,12.0
AR,KM,121,0.21897967383564565,0.015815840191506083,0.20489039661549943,0.02417273375315543,11.249863342254095,0.5076354773374094,12.0
